[29May2025 12:31:12.273] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forge_userdev_data, --assetIndex, 24, --assetsDir, /Users/missonpaudel/.gradle/caches/forge_gradle/assets, --gameDir, ., --mod, examplemod, --all, --output, /Users/missonpaudel/Downloads/forge 2/src/generated/resources, --existing, /Users/missonpaudel/Downloads/forge 2/src/main/resources]
[29May2025 12:31:12.274] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[29May2025 12:31:12.275] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.2.4 starting: java version 21.0.7 by Eclipse Adoptium; OS Mac OS X arch aarch64 version 15.3.1
[29May2025 12:31:12.335] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forge_userdev_data
[29May2025 12:31:12.407] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=jar:file:///Users/missonpaudel/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.7/8ab114ac385e6dbdad5efafe28aba4df8120915f/mixin-0.8.7.jar!/ Service=ModLauncher Env=UNKNOWN
[29May2025 12:31:13.181] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[29May2025 12:31:13.703] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forge_userdev_data' with arguments [--gameDir, ., --assetsDir, /Users/missonpaudel/.gradle/caches/forge_gradle/assets, --assetIndex, 24, --mod, examplemod, --all, --output, /Users/missonpaudel/Downloads/forge 2/src/generated/resources, --existing, /Users/missonpaudel/Downloads/forge 2/src/main/resources]
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:root
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sound_event
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:fluid
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:particle_type
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:attribute
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:mob_effect
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:enchantment_effect_component_type
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_score_provider_type
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_number_provider_type
[29May2025 12:31:17.671] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:map_decoration_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_pool_entry_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_nbt_provider_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_function_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:data_component_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:entity_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:item
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:game_event
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:potion
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block_entity_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:stat_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:custom_stat
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:chunk_status
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_test
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_block_entity_modifier
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:pos_rule_test
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:menu
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_serializer
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:position_source_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:command_argument_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:villager_type
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:villager_profession
[29May2025 12:31:17.672] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:point_of_interest_type
[29May2025 12:31:17.673] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:memory_module_type
[29May2025 12:31:17.673] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sensor_type
